Område;KomKode;Byområde;Navn;Folketal;Areal;Befolkningstæthed
706-70262 Følle Strand;706;70262;Følle Strand;0.0;0.0;0.0
706-70587 Egsmark;706;70587;Egsmark;0.0;0.0;0.0
706-99997 Uden fast bopæl;706;99997;Uden fast bopæl;50.0;0.0;0.0
706-99999 Landdistrikter;706;99999;Landdistrikter;12294.0;664.7;18.5
707-00707 Norddjurs Kommune;707;00707;Norddjurs Kommune;0.0;0.0;0.0
707-10060 Auning;707;10060;Auning;3008.0;2.3;1315.8
707-10068 Fjellerup;707;10068;Fjellerup;442.0;0.6;731.8
707-10069 Gjesing;707;10069;Gjesing;315.0;0.4;787.5
707-10070 Nørager;707;10070;Nørager;313.0;0.3;996.8
707-10071 Vivild;707;10071;Vivild;828.0;0.7;1243.2
707-10082 Bønnerup Strand;707;10082;Bønnerup Strand;786.0;2.1;370.2
707-10161 Ramten;707;10161;Ramten;241.0;0.2;983.7
707-10162 Stenvad;707;10162;Stenvad;295.0;0.3;973.6
707-10361 Grenaa;707;10361;Grenaa;14856.0;11.2;1325.2
707-10362 Ålsrode;707;10362;Ålsrode;0.0;0.0;0.0
707-10389 Voldby;707;10389;Voldby;345.0;0.4;920.0
707-10457 Holbæk;707;10457;Holbæk;275.0;0.3;862.1
707-10459 Ørsted;707;10459;Ørsted;1465.0;1.3;1100.7
707-10462 Allingåbro;707;10462;Allingåbro;1831.0;1.7;1098.4
707-10590 Trustrup;707;10590;Trustrup;814.0;0.7;1091.2
707-10628 Balle (del af flere kommuner);707;10628;Balle (del af flere kommuner);40.0;0.1;339.0
707-10629 Lyngby;707;10629;Lyngby;359.0;0.3;1169.4
707-11093 Gjerrild;707;11093;Gjerrild;448.0;0.5;822.0
707-18374 Øster Alling;707;18374;Øster Alling;309.0;0.3;1036.9
707-18405 Ørum;707;18405;Ørum;719.0;0.8;948.5
707-18406 Glesborg;707;18406;Glesborg;577.0;0.6;1021.2
707-70017 Fjellerup Strand;707;70017;Fjellerup Strand;0.0;0.0;0.0
707-99997 Uden fast bopæl;707;99997;Uden fast bopæl;30.0;0.0;0.0
707-99999 Landdistrikter;707;99999;Landdistrikter;9803.0;695.8;14.1
710-00710 Favrskov Kommune;710;00710;Favrskov Kommune;0.0;0.0;0.0
710-10117 Hinnerup;710;10117;Hinnerup;7681.0;4.2;1825.3
710-10118 Lading;710;10118;Lading;647.0;0.5;1286.3
710-10119 Grundfør;710;10119;Grundfør;419.0;0.4;1102.6
710-10120 Søften;710;10120;Søften;2757.0;2.0;1405.2
710-10121 Nørre Galten;710;10121;Nørre Galten;215.0;0.2;926.7
710-10468 Skjød;710;10468;Skjød;265.0;0.2;1099.6
710-10469 Selling;710;10469;Selling;678.0;0.4;1729.6
710-10470 Ødum;710;10470;Ødum;360.0;0.3;1241.4
710-10471 Folby;710;10471;Folby;1064.0;0.8;1268.2
710-10631 Vissing;710;10631;Vissing;234.0;0.2;1181.8
710-10633 Hadsten;710;10633;Hadsten;8093.0;5.3;1523.8
710-10634 Hadbjerg;710;10634;Hadbjerg;729.0;0.6;1241.9
710-10755 Aidt;710;10755;Aidt;269.0;0.3;870.6
710-10756 Hvorslev;710;10756;Hvorslev;231.0;0.3;675.4
710-10758 Ulstrup;710;10758;Ulstrup;2025.0;1.4;1439.2
710-10759 Vellev;710;10759;Vellev;211.0;0.3;667.7
710-10760 Houlbjerg;710;10760;Houlbjerg;223.0;0.3;677.8
710-10794 Hammel;710;10794;Hammel;7005.0;5.3;1334.0
710-10795 Sall;710;10795;Sall;238.0;0.2;1196.0
710-10796 Voldby;710;10796;Voldby;436.0;0.3;1293.8
710-10818 Thorsø;710;10818;Thorsø;1845.0;1.4;1277.7
710-10951 Farre;710;10951;Farre;287.0;0.3;1043.6
710-11095 Laurbjerg;710;11095;Laurbjerg;1013.0;0.7;1451.3
710-12972 Vitten;710;12972;Vitten;220.0;0.3;705.1
710-14909 Norring;710;14909;Norring;201.0;0.2;1110.5
710-15166 Lyngå;710;15166;Lyngå;221.0;0.2;1013.8
710-17101 Svenstrup;710;17101;Svenstrup;244.0;0.3;807.9
710-18373 Voldum;710;18373;Voldum;852.0;0.7;1189.9
710-99997 Uden fast bopæl;710;99997;Uden fast bopæl;58.0;0.0;0.0
710-99999 Landdistrikter;710;99999;Landdistrikter;9194.0;512.5;17.9
727-00727 Odder Kommune;727;00727;Odder Kommune;0.0;0.0;0.0
727-10101 Hov;727;10101;Hov;1532.0;1.4;1127.3
727-10102 Odder;727;10102;Odder;11872.0;6.6;1804.5
727-10103 Hundslund;727;10103;Hundslund;598.0;0.5;1266.9
727-10104 Ørting;727;10104;Ørting;696.0;0.5;1539.8
727-10168 Torrild;727;10168;Torrild;226.0;0.3;879.4
727-10173 Gylling;727;10173;Gylling;643.0;0.4;1488.4
727-10243 Saksild;727;10243;Saksild;789.0;0.6;1365.1
727-14904 Bovlstrup;727;14904;Bovlstrup;309.0;0.3;1207.0
727-16471 Neder Randlev;727;16471;Neder Randlev;227.0;0.2;1319.8
727-99997 Uden fast bopæl;727;99997;Uden fast bopæl;11.0;0.0;0.0
727-99999 Landdistrikter;727;99999;Landdistrikter;5428.0;213.2;25.5
730-00730 Randers Kommune;730;00730;Randers Kommune;0.0;0.0;0.0
730-10081 Haslund;730;10081;Haslund;688.0;0.7;1048.8
730-10354 Udbyhøj Vasehuse;730;10354;Udbyhøj Vasehuse;217.0;0.3;847.7
730-10456 Tvede;730;10456;Tvede;229.0;0.3;898.0
730-10458 Støvring;730;10458;Støvring;0.0;0.0;0.0
730-10460 Albæk;730;10460;Albæk;276.0;0.3;910.9
730-10461 Uggelhuse;730;10461;Uggelhuse;439.0;0.4;1000.0
730-10498 Råsted;730;10498;Råsted;303.0;0.2;1246.9
730-10499 Gimming;730;10499;Gimming;247.0;0.2;1008.2
730-10500 Harridslev;730;10500;Harridslev;1177.0;0.7;1571.4
730-10501 Mejlby;730;10501;Mejlby;616.0;0.4;1416.1
730-10502 Over Hornbæk;730;10502;Over Hornbæk;0.0;0.0;0.0
730-10503 Paderup;730;10503;Paderup;0.0;0.0;0.0
730-10627 Havndal;730;10627;Havndal;872.0;0.8;1144.4
730-10632 Værum;730;10632;Værum;296.0;0.3;878.3
730-10635 Assentoft;730;10635;Assentoft;3457.0;2.7;1258.9
730-10636 Mellerup;730;10636;Mellerup;523.0;0.5;1007.7
730-10637 Øster Tørslev;730;10637;Øster Tørslev;865.0;0.9;976.3
730-10658 Enslev;730;10658;Enslev;0.0;0.0;0.0
730-10659 Gjerlev;730;10659;Gjerlev;650.0;0.5;1219.5
730-10660 Asferg;730;10660;Asferg;598.0;0.5;1245.8
730-10661 Spentrup;730;10661;Spentrup;2451.0;1.4;1753.2
730-10662 Hald;730;10662;Hald;356.0;0.3;1031.9
730-10663 Linde;730;10663;Linde;0.0;0.0;0.0
730-10691 Randers;730;10691;Randers;62563.0;32.2;1941.7
730-10692 Stevnstrup;730;10692;Stevnstrup;2185.0;1.5;1470.4
730-10695 Gassum;730;10695;Gassum;422.0;0.3;1348.2
730-10757 Langå;730;10757;Langå;2877.0;2.2;1289.6
730-10919 Fårup;730;10919;Fårup;1017.0;1.1;891.3
730-10922 Øster Bjerregrav;730;10922;Øster Bjerregrav;1088.0;0.8;1386.0
730-10923 Sønderbæk;730;10923;Sønderbæk;205.0;0.3;719.3
730-10940 Helstrup;730;10940;Helstrup;206.0;0.2;1157.3
730-10982 Ålum;730;10982;Ålum;295.0;0.2;1260.7
730-11080 Dalbyover;730;11080;Dalbyover;271.0;0.3;944.3
730-11081 Tånum;730;11081;Tånum;253.0;0.2;1176.7
730-11893 Lem;730;11893;Lem;222.0;0.2;1226.5
730-18372 Hørning;730;18372;Hørning;307.0;0.3;950.5
730-99997 Uden fast bopæl;730;99997;Uden fast bopæl;324.0;0.0;0.0
730-99999 Landdistrikter;730;99999;Landdistrikter;11623.0;696.3;16.7
740-00740 Silkeborg Kommune;740;00740;Silkeborg Kommune;0.0;0.0;0.0
740-10347 Voel;740;10347;Voel;1567.0;1.0;1603.9
740-10368 Bryrup;740;10368;Bryrup;1542.0;1.4;1123.1
740-10374 Linå;740;10374;Linå;528.0;0.5;1077.6
740-10375 Laven (del af flere kommuner);740;10375;Laven (del af flere kommuner);369.0;0.3;1285.7
740-10378 Sorring;740;10378;Sorring;1134.0;0.7;1620.0
740-10393 Salten;740;10393;Salten;667.0;0.4;1769.2
740-10394 Them;740;10394;Them;2215.0;1.4;1554.4
740-10402 Sinding;740;10402;Sinding;311.0;0.2;1301.3
740-10606 Gjessø;740;10606;Gjessø;820.0;0.5;1598.4
740-10614 Virklund;740;10614;Virklund;3429.0;2.5;1355.9
740-10615 Svejbæk;740;10615;Svejbæk;0.0;0.0;0.0
740-10667 Silkeborg;740;10667;Silkeborg;44333.0;28.2;1570.0
740-10727 Demstrup;740;10727;Demstrup;284.0;0.3;1051.9
740-10728 Neder Hvam;740;10728;Neder Hvam;304.0;0.2;1220.9
740-10729 Sjørslev;740;10729;Sjørslev;396.0;0.3;1141.2
740-10737 Lemming;740;10737;Lemming;325.0;0.2;1419.2
740-10738 Serup;740;10738;Serup;216.0;0.2;1227.3
740-10766 Nørre Knudstrup;740;10766;Nørre Knudstrup;241.0;0.2;1506.3
740-10767 Vinderslev;740;10767;Vinderslev;483.0;0.3;1408.2
740-10797 Ans;740;10797;Ans;1900.0;1.3;1494.9
740-10819 Fårvang;740;10819;Fårvang;1410.0;1.1;1274.9
740-10820 Gjern;740;10820;Gjern;1464.0;1.0;1487.8
740-10834 Grauballe;740;10834;Grauballe;713.0;0.5;1363.3
740-10952 Sejling;740;10952;Sejling;325.0;0.2;1406.9
740-10971 Kjellerup;740;10971;Kjellerup;5095.0;3.8;1349.0
740-10972 Thorning;740;10972;Thorning;1034.0;1.0;1080.5
740-11096 Skægkær;740;11096;Skægkær;366.0;0.3;1257.7
740-12721 Øster Bording;740;12721;Øster Bording;0.0;0.0;0.0
740-13150 Nørskovlund;740;13150;Nørskovlund;0.0;0.0;0.0
740-14332 Vrads;740;14332;Vrads;0.0;0.0;0.0
740-18254 Funder Kirkeby;740;18254;Funder Kirkeby;619.0;0.3;1831.4
740-18255 Kragelund;740;18255;Kragelund;760.0;0.5;1384.3
740-18293 Levring;740;18293;Levring;0.0;0.0;0.0
740-18958 Sejs-Svejbæk;740;18958;Sejs-Svejbæk;4148.0;2.6;1605.9
740-18988 Resenbro;740;18988;Resenbro;0.0;0.0;0.0
740-99997 Uden fast bopæl;740;99997;Uden fast bopæl;168.0;0.0;0.0
740-99999 Landdistrikter;740;99999;Landdistrikter;14071.0;798.8;17.6
741-00741 Samsø Kommune;741;00741;Samsø Kommune;0.0;0.0;0.0
741-10098 Onsbjerg;741;10098;Onsbjerg;229.0;0.3;765.9
741-10099 Tranebjerg;741;10099;Tranebjerg;824.0;0.9;886.0
741-10100 Nordby;741;10100;Nordby;205.0;0.4;538.1
741-10953 Brundby;741;10953;Brundby;0.0;0.0;0.0
741-99997 Uden fast bopæl;741;99997;Uden fast bopæl;5.0;0.0;0.0
741-99999 Landdistrikter;741;99999;Landdistrikter;2461.0;111.9;22.0
746-00746 Skanderborg Kommune;746;00746;Skanderborg Kommune;0.0;0.0;0.0
746-10019 Sjelle;746;10019;Sjelle;314.0;0.4;892.0
746-10020 Skovby;746;10020;Skovby;0.0;0.0;0.0
746-10167 Hylke;746;10167;Hylke;417.0;0.3;1215.7
746-10348 Gammel Rye;746;10348;Gammel Rye;1493.0;0.9;1687.0
746-10375 Laven (del af flere kommuner);746;10375;Laven (del af flere kommuner);17.0;0.0;2125.0
746-10376 Galten;746;10376;Galten;8268.0;5.8;1429.5
746-10377 Låsby;746;10377;Låsby;2011.0;1.5;1328.3
746-10434 Nørre Vissing;746;10434;Nørre Vissing;212.0;0.2;1191.0
746-10435 Ry;746;10435;Ry;6082.0;4.0;1536.6
746-10483 Voerladegård;746;10483;Voerladegård;601.0;0.4;1628.7
746-10588 Skjørring;746;10588;Skjørring;283.0;0.3;989.5
746-10730 Hørning;746;10730;Hørning;7750.0;4.0;1941.9
746-11097 Skanderborg;746;11097;Skanderborg;18849.0;11.5;1634.5
746-11751 Hårby;746;11751;Hårby;244.0;0.2;1487.8
746-11770 Alken;746;11770;Alken;237.0;0.1;1881.0
746-12963 Fruering;746;12963;Fruering;229.0;0.2;1101.0
746-14808 Blegind;746;14808;Blegind;253.0;0.2;1045.5
746-15423 Javngyde;746;15423;Javngyde;204.0;0.2;1046.2
746-18303 Tebstrup;746;18303;Tebstrup;653.0;0.4;1855.1
746-18313 Virring;746;18313;Virring;974.0;0.6;1517.1
746-18321 Herskind;746;18321;Herskind;775.0;0.5;1543.8
746-18343 Stilling;746;18343;Stilling;0.0;0.0;0.0
746-18385 Stjær;746;18385;Stjær;947.0;0.6;1679.1
746-18386 Storring;746;18386;Storring;269.0;0.2;1262.9
746-99997 Uden fast bopæl;746;99997;Uden fast bopæl;44.0;0.0;0.0
746-99999 Landdistrikter;746;99999;Landdistrikter;9275.0;384.4;24.1
751-00751 Aarhus Kommune;751;00751;Aarhus Kommune;0.0;0.0;0.0
751-10017 Mundelstrup;751;10017;Mundelstrup;405.0;0.2;1928.6
751-10018 Sabro;751;10018;Sabro;2964.0;1.6;1906.1
751-10059 Stavtrup;751;10059;Stavtrup;0.0;0.0;0.0
751-10141 Beder;751;10141;Beder;0.0;0.0;0.0
751-10156 Mårslet;751;10156;Mårslet;4905.0;2.3;2121.5
751-10218 Malling;751;10218;Malling;0.0;0.0;0.0
751-10286 Tranbjerg;751;10286;Tranbjerg;0.0;0.0;0.0
751-10464 Hjortshøj;751;10464;Hjortshøj;3562.0;1.3;2670.2
751-10465 Lystrup;751;10465;Lystrup;10436.0;5.1;2052.3
751-10466 Løgten;751;10466;Løgten;7894.0;3.5;2248.4
751-10467 Studstrup;751;10467;Studstrup;857.0;0.4;1925.8
751-10858 Solbjerg;751;10858;Solbjerg;3765.0;2.3;1654.2
751-11045 Aarhus;751;11045;Aarhus;269022.0;98.1;2743.5
751-11688 Todbjerg;751;11688;Todbjerg;201.0;0.2;957.1
751-13511 Jegstrup;751;13511;Jegstrup;0.0;0.0;0.0
751-18319 Borum;751;18319;Borum;309.0;0.2;1398.2
751-18338 Spørring;751;18338;Spørring;994.0;0.5;1984.0
751-18339 Trige;751;18339;Trige;2878.0;1.4;2106.9
751-18384 Ormslev;751;18384;Ormslev;344.0;0.3;1278.8
751-18397 Mejlby;751;18397;Mejlby;441.0;0.3;1645.5
751-18398 Elev;751;18398;Elev;1307.0;0.6;2185.6
751-18399 Hårup;751;18399;Hårup;811.0;0.5;1507.4
751-18400 Lisbjerg;751;18400;Lisbjerg;846.0;0.5;1796.2
751-18418 Harlev;751;18418;Harlev;3759.0;1.8;2077.9
751-18860 Beder-Malling;751;18860;Beder-Malling;8387.0;4.0;2103.6
751-99997 Uden fast bopæl;751;99997;Uden fast bopæl;1663.0;0.0;0.0
751-99999 Landdistrikter;751;99999;Landdistrikter;9934.0;342.8;29.0
756-00756 Ikast-Brande Kommune;756;00756;Ikast-Brande Kommune;0.0;0.0;0.0
756-14372 Uhre;756;14372;Uhre;260.0;0.4;710.4
756-18251 Isenvad;756;18251;Isenvad;649.0;0.6;1138.6
756-18253 Engesvang;756;18253;Engesvang;2030.0;1.6;1255.4
756-18256 Pårup;756;18256;Pårup;238.0;0.2;1352.3
756-18258 Gludsted;756;18258;Gludsted;299.0;0.6;505.1
756-18260 Ikast;756;18260;Ikast;15462.0;11.2;1380.2
756-18261 Tulstrup;756;18261;Tulstrup;620.0;0.4;1771.4
756-18262 Bording;756;18262;Bording;2385.0;1.7;1365.2
756-18264 Hampen;756;18264;Hampen;342.0;0.5;688.1
756-18267 Klovborg;756;18267;Klovborg;551.0;0.6;1000.0
756-18271 Ejstrupholm;756;18271;Ejstrupholm;1677.0;1.5;1098.2
756-18273 Brande;756;18273;Brande;7207.0;8.1;888.2
756-18274 Nørre Snede;756;18274;Nørre Snede;1848.0;1.8;1007.1
756-18281 Blåhøj;756;18281;Blåhøj;379.0;0.3;1159.0
756-99997 Uden fast bopæl;756;99997;Uden fast bopæl;126.0;0.0;0.0
756-99999 Landdistrikter;756;99999;Landdistrikter;6908.0;704.0;9.8
760-00760 Ringkøbing-Skjern Kommune;760;00760;Ringkøbing-Skjern Kommune;0.0;0.0;0.0
760-10990 Bølling;760;10990;Bølling;0.0;0.0;0.0
760-10991 Skjern;760;10991;Skjern;7876.0;6.8;1154.8
760-10992 Lønborg;760;10992;Lønborg;240.0;0.3;752.4
760-11004 Hvide Sande;760;11004;Hvide Sande;3045.0;2.3;1324.5
760-11020 Hemmet;760;11020;Hemmet;326.0;0.3;950.4
760-11027 Fjelstervang;760;11027;Fjelstervang;482.0;0.5;969.8
760-11028 Grønbjerg;760;11028;Grønbjerg;377.0;0.4;1002.7
760-11029 Spjald;760;11029;Spjald;1279.0;1.2;1050.1
760-11067 Lyne;760;11067;Lyne;230.0;0.3;916.3
760-11102 Tarm;760;11102;Tarm;3980.0;3.8;1037.5
760-11136 Højmark;760;11136;Højmark;275.0;0.4;708.8
760-11137 Lem;760;11137;Lem;1382.0;1.8;764.0
760-11163 Nørre Bork;760;11163;Nørre Bork;0.0;0.0;0.0
760-11164 Ringkøbing;760;11164;Ringkøbing;9985.0;7.1;1408.7
760-11171 Barde;760;11171;Barde;0.0;0.0;0.0
760-11172 Videbæk;760;11172;Videbæk;4241.0;3.6;1188.3
760-11173 Vorgod;760;11173;Vorgod;0.0;0.0;0.0
760-11174 Astrup;760;11174;Astrup;263.0;0.3;942.7
760-11178 Herborg;760;11178;Herborg;277.0;0.3;911.2
760-11180 Rækker Mølle;760;11180;Rækker Mølle;351.0;0.3;1132.3
760-11217 Velling;760;11217;Velling;271.0;0.3;964.4
760-11219 Hoven;760;11219;Hoven;204.0;0.4;576.3
760-11220 Borris;760;11220;Borris;859.0;1.0;850.5
760-11227 Troldhede;760;11227;Troldhede;649.0;0.9;738.3
760-11243 Hee;760;11243;Hee;523.0;0.6;870.2
760-11244 Tim;760;11244;Tim;893.0;1.0;898.4
760-11245 Kloster;760;11245;Kloster;619.0;0.6;1103.4
760-11246 No;760;11246;No;258.0;0.3;948.5
760-11249 Ådum;760;11249;Ådum;223.0;0.3;717.0
760-11273 Stauning;760;11273;Stauning;345.0;0.6;622.7
760-17175 Ølstrup;760;17175;Ølstrup;279.0;0.3;905.8
760-17460 Sønder Vium;760;17460;Sønder Vium;0.0;0.0;0.0
760-18739 Vorgod-Barde;760;18739;Vorgod-Barde;1019.0;0.9;1158.0
760-99997 Uden fast bopæl;760;99997;Uden fast bopæl;44.0;0.0;0.0
760-99999 Landdistrikter;760;99999;Landdistrikter;16227.0;1433.3;11.3
766-00766 Hedensted Kommune;766;00766;Hedensted Kommune;0.0;0.0;0.0
766-10010 Lindved;766;10010;Lindved;1317.0;1.0;1281.1
766-10032 Øster Snede;766;10032;Øster Snede;1197.0;1.0;1252.1
766-10088 Hedensted;766;10088;Hedensted;11789.0;10.4;1130.2
766-10089 Daugård;766;10089;Daugård;1085.0;0.7;1519.6
766-10090 Barrit;766;10090;Barrit;801.0;0.9;906.1
766-10109 Glud;766;10109;Glud;677.0;0.6;1086.7
766-10165 Snaptun;766;10165;Snaptun;480.0;0.5;971.7
766-10297 Overby;766;10297;Overby;0.0;0.0;0.0
766-10353 Juelsminde;766;10353;Juelsminde;3985.0;4.0;1008.1
766-10401 Tørring;766;10401;Tørring;2750.0;2.1;1286.2
766-10696 Hornsyld;766;10696;Hornsyld;1661.0;1.7;999.4
766-10816 Stenderup;766;10816;Stenderup;390.0;0.3;1123.9
766-10817 Bjerre;766;10817;Bjerre;471.0;0.4;1165.8
766-10843 Stouby;766;10843;Stouby;822.0;0.6;1334.4
766-10954 Ølsted;766;10954;Ølsted;907.0;0.5;1670.4
766-10956 Kragelund;766;10956;Kragelund;0.0;0.0;0.0
766-11154 Rårup;766;11154;Rårup;478.0;0.5;905.3
766-12966 Hosby;766;12966;Hosby;215.0;0.5;428.3
766-18282 Rask Mølle;766;18282;Rask Mølle;1056.0;0.8;1269.2
766-18283 Uldum;766;18283;Uldum;1382.0;1.6;868.1
766-18284 Ølholm;766;18284;Ølholm;899.0;0.8;1135.1
766-18285 Hornborg;766;18285;Hornborg;224.0;0.2;918.0
766-18290 Åle;766;18290;Åle;548.0;0.5;1068.2
766-18308 Korning;766;18308;Korning;375.0;0.3;1074.5
766-99997 Uden fast bopæl;766;99997;Uden fast bopæl;47.0;0.0;0.0
766-99999 Landdistrikter;766;99999;Landdistrikter;12968.0;520.9;24.9
773-00773 Morsø Kommune;773;00773;Morsø Kommune;0.0;0.0;0.0
773-11039 Erslev;773;11039;Erslev;414.0;0.3;1196.5
773-11043 Øster Jølby;773;11043;Øster Jølby;636.0;0.6;1012.7
773-11083 Karby;773;11083;Karby;245.0;0.3;753.8
773-11084 Frøslev;773;11084;Frøslev;261.0;0.4;709.2
773-11085 Vils;773;11085;Vils;453.0;0.4;1063.4
773-11086 Redsted;773;11086;Redsted;234.0;0.3;812.5
773-11122 Øster Assels;773;11122;Øster Assels;0.0;0.0;0.0
773-11181 Sejerslev;773;11181;Sejerslev;337.0;0.4;834.2
773-11183 Flade;773;11183;Flade;0.0;0.0;0.0
773-11186 Tødsø;773;11186;Tødsø;269.0;0.3;1000.0
773-11188 Sundby;773;11188;Sundby;478.0;0.6;834.2
773-11190 Bjergby;773;11190;Bjergby;0.0;0.0;0.0
773-11237 Nykøbing M;773;11237;Nykøbing M;9135.0;6.3;1439.3
773-11255 Vodstrup;773;11255;Vodstrup;234.0;0.3;869.9
773-17056 Lødderup;773;17056;Lødderup;235.0;0.3;681.2
773-99997 Uden fast bopæl;773;99997;Uden fast bopæl;17.0;0.0;0.0
773-99999 Landdistrikter;773;99999;Landdistrikter;7717.0;355.8;21.7
779-00779 Skive Kommune;779;00779;Skive Kommune;0.0;0.0;0.0
779-10754 Jebjerg;779;10754;Jebjerg;1149.0;1.1;1070.8
779-10790 Højslev;779;10790;Højslev;224.0;0.3;759.3
779-10791 Skive;779;10791;Skive;20683.0;14.9;1390.9
779-10840 Nederby;779;10840;Nederby;560.0;1.1;503.6
779-10841 Selde;779;10841;Selde;307.0;0.4;771.4
779-10877 Breum;779;10877;Breum;834.0;0.7;1121.0
779-10899 Hald;779;10899;Hald;434.0;0.5;891.2
779-10900 Højslev Stationsby;779;10900;Højslev Stationsby;2820.0;2.2;1277.8
779-10937 Balling;779;10937;Balling;1179.0;1.1;1061.2
779-11114 Roslev;779;11114;Roslev;1299.0;1.2;1079.8
779-11120 Rødding;779;11120;Rødding;918.0;0.8;1179.9
779-11121 Oddense;779;11121;Oddense;625.0;0.7;927.3
779-11177 Lihme;779;11177;Lihme;300.0;0.3;1107.0
779-11230 Lem;779;11230;Lem;495.0;0.5;942.9
779-11231 Ramsing;779;11231;Ramsing;355.0;0.4;986.1
779-11232 Hem;779;11232;Hem;578.0;0.6;1003.5
779-11234 Rønbjerg;779;11234;Rønbjerg;367.0;0.5;785.9
779-11236 Durup;779;11236;Durup;922.0;1.0;929.4
779-11256 Glyngøre;779;11256;Glyngøre;1496.0;1.3;1183.5
779-11267 Hvidbjerg;779;11267;Hvidbjerg;343.0;0.5;750.5
779-99997 Uden fast bopæl;779;99997;Uden fast bopæl;94.0;0.0;0.0
779-99999 Landdistrikter;779;99999;Landdistrikter;10558.0;653.6;16.2
787-00787 Thisted Kommune;787;00787;Thisted Kommune;0.0;0.0;0.0
787-10906 Vesløs;787;10906;Vesløs;298.0;0.3;863.8
787-10907 Østerild;787;10907;Østerild;618.0;0.6;995.2
787-10908 Ræhr;787;10908;Ræhr;557.0;0.5;1197.8
787-10925 Frøstrup;787;10925;Frøstrup;642.0;0.7;964.0
787-11008 Hørdum;787;11008;Hørdum;244.0;0.3;924.2
787-11009 Hanstholm;787;11009;Hanstholm;2154.0;3.0;727.0
787-11036 Hundborg;787;11036;Hundborg;501.0;0.4;1384.0
787-11037 Snedsted;787;11037;Snedsted;1200.0;0.7;1729.1
787-11038 Koldby;787;11038;Koldby;781.0;0.7;1160.5
787-11040 Vestervig;787;11040;Vestervig;628.0;0.6;1043.2
787-11041 Hurup;787;11041;Hurup;2745.0;2.4;1153.4
787-11042 Bedsted;787;11042;Bedsted;872.0;0.8;1110.8
787-11053 Agger;787;11053;Agger;363.0;1.3;282.9
787-11059 Klitmøller;787;11059;Klitmøller;903.0;2.3;390.4
787-11088 Ydby;787;11088;Ydby;274.0;0.4;721.1
787-11112 Nors;787;11112;Nors;1050.0;0.9;1147.5
787-11113 Hillerslev;787;11113;Hillerslev;391.0;0.4;1053.9
787-11182 Sennels;787;11182;Sennels;862.0;0.8;1138.7
787-11187 Sundby;787;11187;Sundby;310.0;0.3;987.3
787-11189 Vilsund Vest;787;11189;Vilsund Vest;395.0;0.5;877.8
787-11191 Nørre Vorupør;787;11191;Nørre Vorupør;586.0;1.7;353.2
787-11247 Sjørring;787;11247;Sjørring;710.0;0.6;1099.1
787-11248 Thisted;787;11248;Thisted;13363.0;8.3;1619.8
787-17514 Øsløs;787;17514;Øsløs;210.0;0.3;684.0
787-99997 Uden fast bopæl;787;99997;Uden fast bopæl;51.0;0.0;0.0
787-99999 Landdistrikter;787;99999;Landdistrikter;13118.0;1045.4;12.5
791-00791 Viborg Kommune;791;00791;Viborg Kommune;0.0;0.0;0.0
791-10715 Karup;791;10715;Karup;2256.0;2.0;1142.9
791-10716 Skelhøje;791;10716;Skelhøje;511.0;0.3;1498.5
791-10717 Hald Ege;791;10717;Hald Ege;0.0;0.0;0.0
791-10718 Rindsholm;791;10718;Rindsholm;267.0;0.3;861.3
791-10721 Ulbjerg;791;10721;Ulbjerg;503.0;0.5;1004.0
791-10726 Frederiks;791;10726;Frederiks;1856.0;1.4;1366.7
791-10768 Kølvrå;791;10768;Kølvrå;761.0;0.8;1000.0
791-10771 Bjerringbro;791;10771;Bjerringbro;7551.0;6.3;1190.4
791-10788 Mønsted;791;10788;Mønsted;740.0;0.7;1046.7
791-10792 Tapdrup;791;10792;Tapdrup;508.0;0.4;1326.4
791-10793 Vejrumbro;791;10793;Vejrumbro;418.0;0.4;1120.6
791-10799 Ørum;791;10799;Ørum;1413.0;1.1;1301.1
791-10800 Bjerregrav;791;10800;Bjerregrav;448.0;0.5;873.3
791-10801 Møldrup;791;10801;Møldrup;1300.0;1.1;1220.7
791-10803 Klejtrup;791;10803;Klejtrup;903.0;0.7;1266.5
791-10804 Løvel;791;10804;Løvel;778.0;0.7;1047.1
791-10805 Vammen;791;10805;Vammen;546.0;0.5;1103.0
791-10809 Sahl;791;10809;Sahl;333.0;0.3;1128.8
791-10835 Rødding;791;10835;Rødding;918.0;0.7;1285.7
791-10836 Mammen;791;10836;Mammen;327.0;0.3;1267.4
791-10868 Grønhøj;791;10868;Grønhøj;0.0;0.0;0.0
791-10878 Rødkærsbro;791;10878;Rødkærsbro;1687.0;1.9;874.1
791-10879 Tange;791;10879;Tange;276.0;0.3;1014.7
791-10901 Fly;791;10901;Fly;298.0;0.4;820.9
791-10902 Stoholm;791;10902;Stoholm;2531.0;1.8;1371.1
791-10903 Kjeldbjerg;791;10903;Kjeldbjerg;282.0;0.3;819.8
791-10904 Sjørup;791;10904;Sjørup;287.0;0.3;834.3
791-10905 Vridsted;791;10905;Vridsted;585.0;0.6;1003.4
791-10918 Bruunshåb;791;10918;Bruunshåb;807.0;0.6;1253.1
791-10920 Hammershøj;791;10920;Hammershøj;930.0;0.9;981.0
791-10921 Kvorning;791;10921;Kvorning;214.0;0.3;856.0
791-10963 Sparkær;791;10963;Sparkær;638.0;0.5;1217.6
791-10964 Skals;791;10964;Skals;1839.0;1.4;1290.5
